nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud,categoria_negocio
Hostal Puerta del Sol,"Puerta del Sol, 14, Madrid",28013,4.0,276.0,"lodging, point_of_interest, establishment",40.4171537,-3.7025296,Alojamiento
Centro,Centro,28013,,,"sublocality_level_1, sublocality, political",40.4167234,-3.7033851,Administración / Localidad
Hotel Santo Domingo,"Calle de San Bernardo, 1, Madrid",28013,3.9,5770.0,"lodging, point_of_interest, establishment",40.4206587,-3.7085482,Alojamiento
Corral de la Morería,"Calle de la Moreria, 17, Madrid",28013,4.4,3788.0,"restaurant, food, point_of_interest, establishment",40.4126689,-3.7142336,Restauración
Hotel Atlántico,"Gran Vía, 38, Madrid",28013,4.7,1337.0,"lodging, point_of_interest, establishment",40.42040529999999,-3.7045863,Alojamiento
Taberna del Alabardero Madrid - Restaurante Palacio Real,"Calle de Felipe V, 6, Madrid",28013,4.3,1712.0,"bar, restaurant, food, point_of_interest, establishment",40.4186021,-3.710921599999999,Restauración
Posada Del Dragón,"Calle de la Cava Baja, 14, Madrid",28013,4.3,1264.0,"clothing_store, lodging, point_of_interest, store, establishment",40.4131012,-3.7086039,Alojamiento
Motel One Madrid - Plaza de España,"Calle del Tutor, 1, Madrid",28013,4.3,1378.0,"lodging, point_of_interest, establishment",40.42564399999999,-3.713794999999999,Alojamiento
Petit Palace Tres Cruces,"Calle de las Tres Cruces, 6, Madrid",28013,4.4,1386.0,"lodging, point_of_interest, establishment",40.41933119999999,-3.7027806,Alojamiento
Hotel Sterling Gran Vía,"Calle de San Bernardo, 29, 31, Madrid",28013,3.9,1417.0,"lodging, point_of_interest, establishment",40.423015,-3.707661,Alojamiento
Room Mate Oscar Hotel,"Plaza de Pedro Zerolo, 12, Madrid",28013,4.5,3320.0,"lodging, point_of_interest, establishment",40.4206371,-3.6990059,Alojamiento
Palacio de los Duques Gran Meliá - The Leading Hotels of the World,"Cuesta de Santo Domingo, 5, Madrid",28013,4.7,2321.0,"lodging, point_of_interest, establishment",40.419756,-3.709671,Alojamiento
Hotel Porcel Ganivet,"Calle de Toledo, 111, 113, Madrid",28013,4.3,2619.0,"lodging, point_of_interest, establishment",40.40821989999999,-3.710767599999999,Alojamiento
ibis Styles Madrid Prado,"Calle del Prado, 11, Madrid",28013,4.4,1250.0,"lodging, point_of_interest, establishment",40.4148772,-3.698999,Alojamiento
Petit Palace Chueca,"Calle de Hortaleza, 3, Madrid",28013,4.4,1470.0,"cafe, restaurant, food, lodging, point_of_interest, store, establishment",40.420354,-3.7011024,Restauración
Hotel Catalonia Gran Vía Madrid,"Gran Vía, 7-9, Madrid",28013,4.3,2761.0,"lodging, point_of_interest, establishment",40.4194421,-3.6988293,Alojamiento
Hotel Madrid II Castillas,"Calle de la Abada, 7, Madrid",28013,4.3,1326.0,"lodging, point_of_interest, establishment",40.4192202,-3.704376799999999,Alojamiento
Petit Palace Preciados,"Calle de Galdo, 2, Madrid",28013,4.2,1344.0,"lodging, point_of_interest, establishment",40.4181053,-3.7043429,Alojamiento
Intelier Palacio San Martín,"Plaza de San Martín, 5, Madrid",28013,4.5,1278.0,"cafe, restaurant, food, lodging, point_of_interest, store, establishment",40.4186427,-3.7067589,Restauración
Petit Palace Plaza del Carmen,"Plaza del Carmen, 4, Madrid",28013,4.4,1008.0,"lodging, point_of_interest, establishment",40.41903279999999,-3.7029893,Alojamiento
Hotel Mayorazgo,"Calle de la Flor Baja, 3, Madrid",28013,4.4,4729.0,"lodging, point_of_interest, establishment",40.4221209,-3.7095924,Alojamiento
CATS Chill Out Hostel,"Calle de la Cabeza, 24, Madrid",28013,4.0,581.0,"lodging, point_of_interest, establishment",40.4118958,-3.702101099999999,Alojamiento
HRC Hotel,"C/ Ángel 18, Calle de Calatrava, 32, Madrid",28013,3.7,716.0,"lodging, point_of_interest, establishment",40.4098475,-3.7130869,Alojamiento
Eurostars Casa de la Lírica,"Calle de la Aduana, 19, Madrid",28013,4.3,1403.0,"lodging, point_of_interest, establishment",40.41848239999999,-3.7012592,Alojamiento
ibis Madrid Centro,"Calle de Manuela Malasaña, 6, Madrid",28013,4.4,1258.0,"lodging, point_of_interest, establishment",40.4287373,-3.703080499999999,Alojamiento
Muralto Madrid Princesa,"Calle del Buen Suceso, 3, Madrid",28013,4.5,839.0,"lodging, point_of_interest, establishment",40.42914529999999,-3.716850199999999,Alojamiento
Petit Palace Arenal,"Calle del Arenal, 16, Madrid",28013,4.4,1681.0,"lodging, point_of_interest, establishment",40.41734899999999,-3.7064961,Alojamiento
Petit Palace Plaza España,"Calle de San Bernardo, 3, Madrid",28013,4.2,1381.0,"lodging, point_of_interest, establishment",40.42088999999999,-3.7083531,Alojamiento
B&B Hotel Madrid Centro Plaza Mayor,"Calle de Atocha, 2, Madrid",28013,4.4,1670.0,"lodging, point_of_interest, establishment",40.41461929999999,-3.705511,Alojamiento
Hotel Catalonia Puerta Del Sol,"Calle de Atocha, 23, Madrid",28013,4.7,1246.0,"lodging, point_of_interest, establishment",40.414026,-3.702864300000001,Alojamiento
Posada del León de Oro,"Calle de la Cava Baja, 12, Madrid",28013,4.2,1456.0,"restaurant, lodging, point_of_interest, food, establishment",40.4131927,-3.708539400000001,Restauración
Mediodía Hotel,"Plaza del Emperador Carlos V, 8, Madrid",28013,4.2,3425.0,"lodging, point_of_interest, establishment",40.4085732,-3.692866899999999,Alojamiento
Hotel Madrisol,"Calle de Núñez de Arce, 1, Madrid",28013,3.5,816.0,"lodging, point_of_interest, establishment",40.415849,-3.7011718,Alojamiento
Casa de Asturias,"Calle de Argumosa, 4, Madrid",28013,3.8,2504.0,"restaurant, point_of_interest, food, establishment",40.4081497,-3.699811,Restauración
Exe Suites 33,"Calle de Leganitos, 33, Madrid",28013,4.1,697.0,"lodging, point_of_interest, establishment",40.42209,-3.7106566,Alojamiento
"Room Mate Mario, Madrid","Calle de Campomanes, 4, Madrid",28013,4.5,1061.0,"lodging, point_of_interest, establishment",40.4188302,-3.7093121,Alojamiento
Acta Madfor,"Paseo de la Florida, 13, Madrid",28013,4.2,1945.0,"lodging, point_of_interest, establishment",40.421447,-3.721714,Alojamiento
Hotel Regente Madrid,"Calle de Mesonero Romanos, 9, Madrid",28013,4.2,2837.0,"lodging, point_of_interest, establishment",40.41970959999999,-3.7043006,Alojamiento
Hotel Meninas,"Calle de Campomanes, 7, Madrid",28013,4.3,574.0,"lodging, point_of_interest, establishment",40.41911199999999,-3.70932,Alojamiento
Sercotel Gran Hotel Conde Duque,"Plaza del Conde del Valle de Súchil, 5, Madrid",28013,4.3,2763.0,"lodging, point_of_interest, establishment",40.43076910000001,-3.7077407,Alojamiento
Hotel Liabeny,"Calle de la Salud, 3, Madrid",28013,4.5,3001.0,"lodging, point_of_interest, establishment",40.4186836,-3.7040003,Alojamiento
Petit Palace Santa Barbara,"Plaza de Santa Bárbara, 10, Madrid",28013,4.5,1702.0,"lodging, restaurant, point_of_interest, food, establishment",40.4264258,-3.696379599999999,Restauración
Madrid,Madrid,28014,,,"locality, political",40.41672790000001,-3.7032905,Administración / Localidad
"Mandarin Oriental Ritz, Madrid","Plaza de la Lealtad, 5, Madrid",28014,4.7,3968.0,"spa, lodging, food, point_of_interest, establishment",40.4157577,-3.692606699999999,Restauración
Hotel Urban,"Carrera de San Jerónimo, 34, Madrid",28014,4.5,1920.0,"lodging, point_of_interest, establishment",40.4164449,-3.6986026,Alojamiento
Hotel Quatro Puerta Del Sol,"Calle de Sevilla, 4, Madrid",28014,4.0,1126.0,"lodging, point_of_interest, establishment",40.41706469999999,-3.6999545,Alojamiento
Hotel Regina Madrid,"Calle Alcalá, 19, Madrid",28014,4.5,2723.0,"lodging, point_of_interest, establishment",40.4179133,-3.699877499999999,Alojamiento
Hotel Infantas by Mij,"Calle de las Infantas, 29, Madrid",28014,4.2,836.0,"lodging, point_of_interest, establishment",40.4201069,-3.6970542,Alojamiento
ME Madrid Reina Victoria,"Plaza de Santa Ana, 14, Madrid",28014,4.4,2520.0,"lodging, point_of_interest, establishment",40.414601,-3.701377000000001,Alojamiento
Hotel Victoria 4,"Calle de la Victoria, 4, Madrid",28014,4.1,1106.0,"lodging, point_of_interest, establishment",40.416379,-3.701742399999999,Alojamiento
Hotel Europa,"Calle del Carmen, 4, Madrid",28014,4.4,2067.0,"lodging, point_of_interest, establishment",40.4175032,-3.7033915,Alojamiento
Mediodía Hotel,"Plaza del Emperador Carlos V, 8, Madrid",28014,4.2,3425.0,"lodging, point_of_interest, establishment",40.4085732,-3.692866899999999,Alojamiento
Petit Palace Triball,"Calle Gonzalo Jiménez de Quesada, 2, Madrid",28014,4.5,1730.0,"lodging, point_of_interest, establishment",40.42056549999999,-3.7029078,Alojamiento
Petit Palace Posada del Peine,"Calle de Postas, 17, Madrid",28014,4.4,1181.0,"lodging, point_of_interest, establishment",40.41571,-3.7060284,Alojamiento
INNSiDE by Meliá Madrid Gran Vía,"Calle de Mesonero Romanos, 13, Madrid",28014,4.3,1814.0,"lodging, point_of_interest, establishment",40.420612,-3.703958,Alojamiento
Hotel NH Madrid Atocha,"Paseo de la Infanta Isabel, 9, Madrid",28014,4.2,1566.0,"lodging, point_of_interest, establishment",40.40769,-3.689457,Alojamiento
Hostal Puerta del Sol,"Puerta del Sol, 14, Madrid",28014,4.0,276.0,"lodging, point_of_interest, establishment",40.4171537,-3.7025296,Alojamiento
"Hotel Palacio Del Retiro, Autograph Collection","Calle de Alfonso XII, 14, Madrid",28014,4.5,485.0,"lodging, point_of_interest, establishment",40.4177785,-3.689227,Alojamiento
Room Mate Oscar Hotel,"Plaza de Pedro Zerolo, 12, Madrid",28014,4.5,3320.0,"lodging, point_of_interest, establishment",40.4206371,-3.6990059,Alojamiento
ibis Styles Madrid Prado,"Calle del Prado, 11, Madrid",28014,4.4,1250.0,"lodging, point_of_interest, establishment",40.4148772,-3.698999,Alojamiento
Petit Palace Tres Cruces,"Calle de las Tres Cruces, 6, Madrid",28014,4.4,1386.0,"lodging, point_of_interest, establishment",40.41933119999999,-3.7027806,Alojamiento
Centro,Centro,28014,,,"sublocality_level_1, sublocality, political",40.4167234,-3.7033851,Administración / Localidad
Hotel Catalonia Gran Vía Madrid,"Gran Vía, 7-9, Madrid",28014,4.3,2761.0,"lodging, point_of_interest, establishment",40.4194421,-3.6988293,Alojamiento
Petit Palace Chueca,"Calle de Hortaleza, 3, Madrid",28014,4.4,1470.0,"cafe, lodging, restaurant, food, point_of_interest, store, establishment",40.420354,-3.7011024,Restauración
Eurostars Casa de la Lírica,"Calle de la Aduana, 19, Madrid",28014,4.3,1403.0,"lodging, point_of_interest, establishment",40.41848239999999,-3.7012592,Alojamiento
CATS Chill Out Hostel,"Calle de la Cabeza, 24, Madrid",28014,4.0,581.0,"lodging, point_of_interest, establishment",40.4118958,-3.702101099999999,Alojamiento
Petit Palace Plaza del Carmen,"Plaza del Carmen, 4, Madrid",28014,4.4,1008.0,"lodging, point_of_interest, establishment",40.41903279999999,-3.7029893,Alojamiento
Vincci Capitol Hotel,"Gran Vía, 41, Madrid",28014,4.4,2637.0,"lodging, point_of_interest, establishment",40.420444,-3.706584,Alojamiento
Petit Palace Preciados,"Calle de Galdo, 2, Madrid",28014,4.2,1344.0,"lodging, point_of_interest, establishment",40.4181053,-3.7043429,Alojamiento
Hotel Atlántico,"Gran Vía, 38, Madrid",28014,4.7,1337.0,"lodging, point_of_interest, establishment",40.42040529999999,-3.7045863,Alojamiento
Hotel Catalonia Puerta Del Sol,"Calle de Atocha, 23, Madrid",28014,4.7,1246.0,"lodging, point_of_interest, establishment",40.414026,-3.702864300000001,Alojamiento
Hotel Madrid II Castillas,"Calle de la Abada, 7, Madrid",28014,4.3,1326.0,"lodging, point_of_interest, establishment",40.4192202,-3.704376799999999,Alojamiento
Mercure Madrid Centro,"Calle de Lope de Vega, 49, Madrid",28014,4.3,1149.0,"lodging, point_of_interest, establishment",40.41401860000001,-3.6945064,Alojamiento
Hotel Madrisol,"Calle de Núñez de Arce, 1, Madrid",28014,3.5,816.0,"lodging, point_of_interest, establishment",40.415849,-3.7011718,Alojamiento
Hotel NH Collection Madrid Paseo del Prado,"Plaza Canovas del Castillo, 4, Madrid",28014,4.5,1247.0,"lodging, point_of_interest, establishment",40.414868,-3.694509,Alojamiento
AC Hotel Recoletos,"Calle de Recoletos, 18, Madrid",28014,4.5,586.0,"lodging, point_of_interest, establishment",40.42144649999999,-3.6895566,Alojamiento
VP Jardín de Recoletos,"Calle de Gil de Santivañes, 6, Madrid",28014,4.5,671.0,"lodging, parking, restaurant, food, point_of_interest, establishment",40.4223075,-3.689168100000001,Restauración
Hotel Mora,"Paseo del Prado, 32, 1, Madrid",28014,3.9,1185.0,"lodging, point_of_interest, establishment",40.411297,-3.693177699999999,Alojamiento
Casa de Asturias,"Calle de Argumosa, 4, Madrid",28014,3.8,2504.0,"restaurant, food, point_of_interest, establishment",40.4081497,-3.699811,Restauración
URBANSEA Atocha 113,"Calle de Atocha, 113, Madrid",28014,4.0,805.0,"lodging, point_of_interest, establishment",40.4103724,-3.6946021,Alojamiento
Suite Prado,"Calle de Manuel Fernández y González, 10, Madrid",28014,4.3,318.0,"lodging, point_of_interest, establishment",40.4150778,-3.699087899999999,Alojamiento
B&B Hotel Madrid Centro Plaza Mayor,"Calle de Atocha, 2, Madrid",28014,4.4,1670.0,"lodging, point_of_interest, establishment",40.41461929999999,-3.705511,Alojamiento
Hotel Mexico,"Calle del Gobernador, 24, Madrid",28014,3.8,627.0,"lodging, point_of_interest, establishment",40.4114786,-3.694286,Alojamiento
Hotel Vincci Soho,"Calle del Prado, 18, Madrid",28014,4.4,3239.0,"lodging, point_of_interest, establishment",40.4148722,-3.698403799999999,Alojamiento
Hotel Liabeny,"Calle de la Salud, 3, Madrid",28014,4.5,3001.0,"lodging, point_of_interest, establishment",40.4186836,-3.7040003,Alojamiento
Hotel NH Madrid Nacional,"Paseo del Prado, 48, Madrid",28014,4.3,3940.0,"lodging, point_of_interest, establishment",40.409962,-3.692673999999999,Alojamiento
Hotel Príncipe 11,"Calle del Príncipe, 11, Madrid",28014,3.5,63.0,"lodging, point_of_interest, establishment",40.4157669,-3.7002701,Alojamiento
HOTEL MIAU,"Calle del Príncipe, 26, Madrid",28014,4.3,292.0,"lodging, point_of_interest, establishment",40.4143397,-3.7001914,Alojamiento
Hotel Cortezo,"Calle del Doctor Cortezo, 3, Madrid",28014,4.1,1834.0,"lodging, point_of_interest, establishment",40.4136722,-3.7035722,Alojamiento
Apart-Hotel Serrano Recoletos,"Calle de Villanueva, 2, Madrid",28014,3.6,866.0,"lodging, point_of_interest, establishment",40.4227751,-3.6900327,Alojamiento
Hostal Bianco,"Calle de Echegaray, 5 -1, Derecha, Madrid",28014,4.3,238.0,"lodging, point_of_interest, establishment",40.4160129,-3.6995733,Alojamiento
Hotel Moderno,"Calle del Arenal, 2, Madrid",28014,4.4,2165.0,"lodging, point_of_interest, establishment",40.4170417,-3.7048905,Alojamiento
Hospes Puerta de Alcalá,"Plaza de la Independencia, 3, Madrid",28014,4.4,1030.0,"spa, lodging, restaurant, food, point_of_interest, establishment",40.4206199,-3.689281300000001,Restauración
Hotel Eurostars Plaza Mayor,"Calle del Doctor Cortezo, 10, Madrid",28014,4.2,1648.0,"lodging, point_of_interest, establishment",40.41307919999999,-3.703986,Alojamiento
Hotel Regente Madrid,"Calle de Mesonero Romanos, 9, Madrid",28014,4.2,2837.0,"lodging, point_of_interest, establishment",40.41970959999999,-3.7043006,Alojamiento
Hotel Vincci Centrum,"Calle de Cedaceros, 4, Madrid",28014,4.3,1322.0,"lodging, point_of_interest, establishment",40.4175772,-3.698596899999999,Alojamiento
Hotel Mayerling Madrid - WEB OFICIAL,"Calle del Conde de Romanones, 6, Madrid",28014,4.3,574.0,"lodging, point_of_interest, establishment",40.4134985,-3.7049219,Alojamiento
Hotel NH Collection Madrid Palacio de Tepa,"Calle de San Sebastián, 2, Madrid",28014,4.6,1229.0,"lodging, point_of_interest, establishment",40.41383499999999,-3.701617,Alojamiento
Cats Hostel Madrid Sol,"Calle de los Cañizares, 6, Madrid",28014,4.2,1737.0,"bar, lodging, point_of_interest, establishment",40.41289560000001,-3.701667100000001,Restauración
Boutike Cibeles,"Calle Alcalá, 57, Madrid",28014,4.5,227.0,"lodging, point_of_interest, establishment",40.4198688,-3.6914576,Alojamiento
7 Islas Hotel,"Calle de Valverde, 14, Madrid",28014,4.5,1338.0,"lodging, point_of_interest, establishment",40.4212482,-3.7018303,Alojamiento
Hotel Catalonia Atocha,"Calle de Atocha, 81, Madrid",28014,4.6,3541.0,"lodging, point_of_interest, establishment",40.4118357,-3.697807000000001,Alojamiento
Madrid,Madrid,28015,,,"locality, political",40.41672790000001,-3.7032905,Administración / Localidad
Leonardo Boutique Hotel Madrid,"Calle de Vallehermoso, 65, Madrid",28015,4.3,1769.0,"lodging, point_of_interest, establishment",40.4372343,-3.708568,Alojamiento
Eurostars Madrid Gran Vía,"Calle de Leganitos, 13, Madrid",28015,4.1,1382.0,"lodging, point_of_interest, establishment",40.4212153,-3.7099122,Alojamiento
Vincci Capitol Hotel,"Gran Vía, 41, Madrid",28015,4.4,2637.0,"lodging, point_of_interest, establishment",40.420444,-3.706584,Alojamiento
INNSiDE by Meliá Madrid Gran Vía,"Calle de Mesonero Romanos, 13, Madrid",28015,4.3,1814.0,"lodging, point_of_interest, establishment",40.420612,-3.703958,Alojamiento
Petit Palace Triball,"Calle Gonzalo Jiménez de Quesada, 2, Madrid",28015,4.5,1730.0,"lodging, point_of_interest, establishment",40.42056549999999,-3.7029078,Alojamiento
Hotel Europa,"Calle del Carmen, 4, Madrid",28015,4.4,2067.0,"lodging, point_of_interest, establishment",40.4175032,-3.7033915,Alojamiento
Hotel Infantas by Mij,"Calle de las Infantas, 29, Madrid",28015,4.2,836.0,"lodging, point_of_interest, establishment",40.4201069,-3.6970542,Alojamiento
Hotel Regina Madrid,"Calle Alcalá, 19, Madrid",28015,4.5,2723.0,"lodging, point_of_interest, establishment",40.4179133,-3.699877499999999,Alojamiento
Petit Palace Posada del Peine,"Calle de Postas, 17, Madrid",28015,4.4,1181.0,"lodging, point_of_interest, establishment",40.41571,-3.7060284,Alojamiento
Hotel Victoria 4,"Calle de la Victoria, 4, Madrid",28015,4.1,1106.0,"lodging, point_of_interest, establishment",40.416379,-3.701742399999999,Alojamiento
Hotel Quatro Puerta Del Sol,"Calle de Sevilla, 4, Madrid",28015,4.0,1126.0,"lodging, point_of_interest, establishment",40.41706469999999,-3.6999545,Alojamiento
Hotel NH Madrid Zurbano,"Calle de Zurbano, 79-81, Madrid",28015,4.2,2898.0,"lodging, point_of_interest, establishment",40.439051,-3.692878,Alojamiento
"Krüger - Restaurante Alemán | Cervecería Artesanal, Plaza España","Calle de la Princesa, 5, Madrid",28015,4.0,1442.0,"bar, restaurant, food, point_of_interest, establishment",40.4246643,-3.7133071,Restauración
Espahotel Plaza España,"Plaza de España, 7, Madrid",28015,4.0,1277.0,"lodging, point_of_interest, establishment",40.42246149999999,-3.7121006,Alojamiento
Hotel Urban,"Carrera de San Jerónimo, 34, Madrid",28015,4.5,1920.0,"lodging, point_of_interest, establishment",40.4164449,-3.6986026,Alojamiento
Hotel Santo Domingo,"Calle de San Bernardo, 1, Madrid",28015,3.9,5770.0,"lodging, point_of_interest, establishment",40.4206587,-3.7085482,Alojamiento
Hotel NH Collection Madrid Colón,"Calle del Marqués de Zurgena, 4, Madrid",28015,4.6,1496.0,"lodging, point_of_interest, establishment",40.42607599999999,-3.689069999999999,Alojamiento
Hostal Puerta del Sol,"Puerta del Sol, 14, Madrid",28015,4.0,276.0,"lodging, point_of_interest, establishment",40.4171537,-3.7025296,Alojamiento
Centro,Centro,28015,,,"sublocality_level_1, sublocality, political",40.4167234,-3.7033851,Administración / Localidad
Sagaretxe,"Calle de Eloy Gonzalo, 26, Madrid",28015,4.0,3839.0,"bar, restaurant, food, point_of_interest, establishment",40.434241,-3.701002,Restauración
VP SOGNIO Metropolitano,"Avenida de la Reina Victoria, 12, Madrid",28015,4.3,2015.0,"restaurant, food, lodging, point_of_interest, establishment",40.447262,-3.705863,Restauración
Hotel Atlántico,"Gran Vía, 38, Madrid",28015,4.7,1337.0,"lodging, point_of_interest, establishment",40.42040529999999,-3.7045863,Alojamiento
ME Madrid Reina Victoria,"Plaza de Santa Ana, 14, Madrid",28015,4.4,2520.0,"lodging, point_of_interest, establishment",40.414601,-3.701377000000001,Alojamiento
Taberna del Alabardero Madrid - Restaurante Palacio Real,"Calle de Felipe V, 6, Madrid",28015,4.3,1712.0,"bar, restaurant, food, point_of_interest, establishment",40.4186021,-3.710921599999999,Restauración
Motel One Madrid - Plaza de España,"Calle del Tutor, 1, Madrid",28015,4.3,1378.0,"lodging, point_of_interest, establishment",40.42564399999999,-3.713794999999999,Alojamiento
Hotel Sterling Gran Vía,"Calle de San Bernardo, 29, 31, Madrid",28015,3.9,1417.0,"lodging, point_of_interest, establishment",40.423015,-3.707661,Alojamiento
Palacio de los Duques Gran Meliá - The Leading Hotels of the World,"Cuesta de Santo Domingo, 5, Madrid",28015,4.7,2321.0,"lodging, point_of_interest, establishment",40.419756,-3.709671,Alojamiento
Petit Palace Tres Cruces,"Calle de las Tres Cruces, 6, Madrid",28015,4.4,1386.0,"lodging, point_of_interest, establishment",40.41933119999999,-3.7027806,Alojamiento
Room Mate Oscar Hotel,"Plaza de Pedro Zerolo, 12, Madrid",28015,4.5,3320.0,"lodging, point_of_interest, establishment",40.4206371,-3.6990059,Alojamiento
Petit Palace Chueca,"Calle de Hortaleza, 3, Madrid",28015,4.4,1470.0,"cafe, restaurant, food, lodging, point_of_interest, store, establishment",40.420354,-3.7011024,Restauración
Hotel NH Madrid Chamberí,"Calle de Bretón de los Herreros, 29, Madrid",28015,4.3,814.0,"lodging, point_of_interest, establishment",40.439586,-3.69827,Alojamiento
ibis Madrid Centro,"Calle de Manuela Malasaña, 6, Madrid",28015,4.4,1258.0,"lodging, point_of_interest, establishment",40.4287373,-3.703080499999999,Alojamiento
Hotel Madrid II Castillas,"Calle de la Abada, 7, Madrid",28015,4.3,1326.0,"lodging, point_of_interest, establishment",40.4192202,-3.704376799999999,Alojamiento
Hotel Mayorazgo,"Calle de la Flor Baja, 3, Madrid",28015,4.4,4729.0,"lodging, point_of_interest, establishment",40.4221209,-3.7095924,Alojamiento
Hotel NH Collection Madrid Abascal,"Calle de José Abascal, 47, Madrid",28015,4.6,2545.0,"lodging, point_of_interest, establishment",40.438314,-3.695182,Alojamiento
Muralto Madrid Princesa,"Calle del Buen Suceso, 3, Madrid",28015,4.5,839.0,"lodging, point_of_interest, establishment",40.42914529999999,-3.716850199999999,Alojamiento
Intelier Palacio San Martín,"Plaza de San Martín, 5, Madrid",28015,4.5,1278.0,"cafe, restaurant, food, lodging, point_of_interest, store, establishment",40.4186427,-3.7067589,Restauración
Petit Palace Preciados,"Calle de Galdo, 2, Madrid",28015,4.2,1344.0,"lodging, point_of_interest, establishment",40.4181053,-3.7043429,Alojamiento
Petit Palace Plaza del Carmen,"Plaza del Carmen, 4, Madrid",28015,4.4,1008.0,"lodging, point_of_interest, establishment",40.41903279999999,-3.7029893,Alojamiento
Petit Palace Plaza España,"Calle de San Bernardo, 3, Madrid",28015,4.2,1381.0,"lodging, point_of_interest, establishment",40.42088999999999,-3.7083531,Alojamiento
InterContinental Madrid by IHG,"Paseo de la Castellana, 49, Madrid",28015,4.6,4262.0,"lodging, point_of_interest, establishment",40.43632769999999,-3.6902269,Alojamiento
Petit Palace Santa Barbara,"Plaza de Santa Bárbara, 10, Madrid",28015,4.5,1702.0,"restaurant, food, lodging, point_of_interest, establishment",40.4264258,-3.696379599999999,Restauración
Hotel Catalonia Gran Vía Madrid,"Gran Vía, 7-9, Madrid",28015,4.3,2761.0,"lodging, point_of_interest, establishment",40.4194421,-3.6988293,Alojamiento
Sercotel Gran Hotel Conde Duque,"Plaza del Conde del Valle de Súchil, 5, Madrid",28015,4.3,2763.0,"lodging, point_of_interest, establishment",40.43076910000001,-3.7077407,Alojamiento
Exe Suites 33,"Calle de Leganitos, 33, Madrid",28015,4.1,697.0,"lodging, point_of_interest, establishment",40.42209,-3.7106566,Alojamiento
Eurostars Casa de la Lírica,"Calle de la Aduana, 19, Madrid",28015,4.3,1403.0,"lodging, point_of_interest, establishment",40.41848239999999,-3.7012592,Alojamiento
Petit Palace Arenal,"Calle del Arenal, 16, Madrid",28015,4.4,1681.0,"lodging, point_of_interest, establishment",40.41734899999999,-3.7064961,Alojamiento
"Room Mate Mario, Madrid","Calle de Campomanes, 4, Madrid",28015,4.5,1061.0,"lodging, point_of_interest, establishment",40.4188302,-3.7093121,Alojamiento
Hotel Meninas,"Calle de Campomanes, 7, Madrid",28015,4.3,574.0,"lodging, point_of_interest, establishment",40.41911199999999,-3.70932,Alojamiento
Hotel Regente Madrid,"Calle de Mesonero Romanos, 9, Madrid",28015,4.2,2837.0,"lodging, point_of_interest, establishment",40.41970959999999,-3.7043006,Alojamiento
Las Mañanitas,"Calle de Bravo Murillo, 54, Madrid",28015,4.3,1852.0,"restaurant, food, point_of_interest, establishment",40.442998,-3.7037667,Restauración
Acta Madfor,"Paseo de la Florida, 13, Madrid",28015,4.2,1945.0,"lodging, point_of_interest, establishment",40.421447,-3.721714,Alojamiento
Hotel Príncipe Pío,"Cuesta de San Vicente, 14, Madrid",28015,4.3,2412.0,"lodging, point_of_interest, establishment",40.4211673,-3.714677,Alojamiento
Suites Viena Plaza de España,"Calle de Juan Álvarez Mendizábal, 17, Madrid",28015,4.5,951.0,"lodging, point_of_interest, establishment",40.4248194,-3.7150606,Alojamiento
Hotel Liabeny,"Calle de la Salud, 3, Madrid",28015,4.5,3001.0,"lodging, point_of_interest, establishment",40.4186836,-3.7040003,Alojamiento
7 Islas Hotel,"Calle de Valverde, 14, Madrid",28015,4.5,1338.0,"lodging, point_of_interest, establishment",40.4212482,-3.7018303,Alojamiento
Hyatt Regency Hesperia Madrid,"Paseo de la Castellana, 57, Madrid",28015,4.5,1728.0,"lodging, point_of_interest, establishment",40.4388581,-3.6915108,Alojamiento
Miyama,"Paseo de la Castellana, 45, Madrid",28015,4.6,1203.0,"restaurant, food, point_of_interest, establishment",40.435713,-3.689798799999998,Restauración
Hotel Gran Versalles,"Calle de Covarrubias, 4, Madrid",28015,4.2,2335.0,"lodging, point_of_interest, establishment",40.4284208,-3.6970266,Alojamiento
Gastonia,Gastonia,28016,,,"locality, political",35.2621735,-81.1870849,Administración / Localidad
R & S Machinery & Design Inc,"633 Bess Town Road, Bessemer City",28016,1.0,1.0,"point_of_interest, establishment",35.307398,-81.2798869,Otros / No categorizado
Leo's Tech Service,"217 Thorne Road, Bessemer City",28016,,,"point_of_interest, establishment",35.3077747,-81.27077899999999,Otros / No categorizado
Ladybug Farms and Bakery,"203 Leesville Avenue, Bessemer City",28016,5.0,9.0,"bakery, grocery_or_supermarket, store, point_of_interest, food, establishment",35.3079392,-81.2622272,Restauración
TPSPros,"520 Bess Town Road, Bessemer City",28016,4.8,4.0,"point_of_interest, establishment",35.304648,-81.281314,Otros / No categorizado
Bessemer City Machine Shop Inc,"524 Bess Town Road, Bessemer City",28016,3.7,6.0,"point_of_interest, establishment",35.3039932,-81.2808609,Otros / No categorizado
Suncor,"522 Bess Town Road, Bessemer City",28016,4.7,3.0,"store, bar, point_of_interest, establishment",35.3044446,-81.2819367,Restauración
St Andrew's Episcopal Church,"1303 North 12th Street, Bessemer City",28016,5.0,6.0,"church, place_of_worship, point_of_interest, establishment",35.2987126,-81.2790989,Religión / Culto
